p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
alt	creatinine					0.0621	0.5271	1.0078	0.0149	0.0107	0.0092
alt	hb					0.2042	0.5233	0.9988	0.013	0.2104	0.0095
ast	alt					-1.029	0.5813	1.0274	0.0133	0.7174	0.0115
ast	bmi					0.0417	0.5059	1.0069	0.0132	0.115	0.0088
ast	bun					0.2288	0.531	1.0066	0.0132	0.0199	0.0098
ast	creatinine					0.0621	0.5271	1.0078	0.0149	0.0229	0.0099
ast	dbp					0.8552	0.4356	0.9885	0.0124	0.0285	0.0098
ast	drink										
ast	eos					0.2431	0.769	0.9983	0.0187	0.0703	0.0099
ast	glucose					0.0051	0.47	1.0086	0.0136	0.0019	0.0094
ast	hb					0.2042	0.5233	0.9988	0.013	0.149	0.01
ast	hdl					-0.4632	0.4337	1.0215	0.0125	0.0186	0.009
ast	height					0.3614	0.5811	0.9933	0.015	-0.0478	0.0095
ast	ldl					-0.2165	0.4622	1.0063	0.0155	0.1003	0.0099
ast	mono					0.1729	0.5328	1.0104	0.0139	0.0291	0.0101
ast	neut					-0.7117	0.543	1.028	0.0122	-0.0597	0.0096
ast	plt					0.4666	0.5916	1.0	0.0142	-0.0199	0.0089
ast	rbc					-2.9982	16.836	1.061	0.4035	0.1019	0.0099
ast	sbp					1.105	0.446	0.9865	0.0129	0.0335	0.01
ast	smoke										
ast	triglycerides					0.5145	0.4428	1.0016	0.0126	0.1199	0.0108
ast	wbc					-0.9144	0.5375	1.0344	0.0121	-0.0128	0.0092
bmi	alt					-1.029	0.5813	1.0274	0.0133	0.2828	0.0088
bmi	creatinine										
bmi	dbp										
bmi	drink										
bmi	eos										
bmi	glucose										
bmi	hb										
bmi	hdl					-0.4632	0.4337	1.0215	0.0125	-0.3146	0.0106
bmi	height										
bmi	ldl					-0.2165	0.4622	1.0063	0.0155	0.179	0.0098
bmi	mono										
bmi	plt										
bmi	rbc					-2.9982	16.836	1.061	0.4035	0.1768	0.0093
bmi	sbp										
bmi	smoke										
bmi	triglycerides										
bmi	wbc					-0.9144	0.5375	1.0344	0.0121	0.2629	0.0097
bun	alt					-1.029	0.5813	1.0274	0.0133	0.0789	0.0099
bun	bmi										
bun	creatinine										
bun	dbp	-0.1013	0.8629	-0.1174	0.9065	0.8552	0.4356	0.9885	0.0124	0.0422	0.0093
bun	drink										
bun	eos	0.5041	2.4151	0.2087	0.8347	0.2431	0.769	0.9983	0.0187	0.0324	0.0094
bun	glucose										
bun	hb	5.727	12.4702	0.4593	0.6461	0.2042	0.5233	0.9988	0.013	-0.0011	0.0101
bun	hdl					-0.4632	0.4337	1.0215	0.0125	0.0652	0.01
bun	height	2.4666	4.4566	0.5535	0.5799	0.3614	0.5811	0.9933	0.015	-0.035	0.0092
bun	ldl					-0.2165	0.4622	1.0063	0.0155	0.0607	0.0091
bun	mono	-1.6385	4.6835	-0.3498	0.7265	0.1729	0.5328	1.0104	0.0139	0.011	0.0099
bun	neut					-0.7117	0.543	1.028	0.0122	-0.0332	0.0096
bun	plt	-1.4157	2.4641	-0.5745	0.5656	0.4666	0.5916	1.0	0.0142	-0.0043	0.0095
bun	rbc					-2.9982	16.836	1.061	0.4035	-0.0147	0.01
bun	sbp	0.1177	0.7866	0.1496	0.8811	1.105	0.446	0.9865	0.0129	0.0536	0.0097
bun	smoke										
bun	triglycerides	0.1758	1.2293	0.143	0.8863	0.5145	0.4428	1.0016	0.0126	-0.069	0.0092
bun	wbc					-0.9144	0.5375	1.0344	0.0121	-0.0014	0.0096
cholesterol	alt					-1.029	0.5813	1.0274	0.0133	0.1029	0.009
cholesterol	ast					-0.8224	0.5602	1.016	0.0134	0.0995	0.0097
cholesterol	bmi					0.0417	0.5059	1.0069	0.0132	0.079	0.01
cholesterol	bun					0.2288	0.531	1.0066	0.0132	0.0828	0.0096
cholesterol	creatinine					0.0621	0.5271	1.0078	0.0149	0.0658	0.0092
cholesterol	dbp					0.8552	0.4356	0.9885	0.0124	0.0902	0.0099
