source_file,p1,p2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/alt_creatinine_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/alt_int.alt_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/creatinine_int.creatinine_int.sumstats.gz,NA,NA,NA,NA,0.0621,0.5271,1.0078,0.0149,0.0107,0.0092
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/alt_hb_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/alt_int.alt_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/hb_int.hb_int.sumstats.gz,NA,NA,NA,NA,0.2042,0.5233,0.9988,0.013,0.2104,0.0095
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_alt_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/alt_int.alt_int.sumstats.gz,NA,NA,NA,NA,-1.029,0.5813,1.0274,0.0133,0.7174,0.0115
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_bmi_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,NA,NA,NA,NA,0.0417,0.5059,1.0069,0.0132,0.115,0.0088
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_bun_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,NA,NA,NA,NA,0.2288,0.531,1.0066,0.0132,0.0199,0.0098
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_creatinine_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/creatinine_int.creatinine_int.sumstats.gz,NA,NA,NA,NA,0.0621,0.5271,1.0078,0.0149,0.0229,0.0099
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_dbp_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/dbp_int.dbp_int.sumstats.gz,NA,NA,NA,NA,0.8552,0.4356,0.9885,0.0124,0.0285,0.0098
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_drink_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/drink_int.drink_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_eos_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/eos_int.eos_int.sumstats.gz,NA,NA,NA,NA,0.2431,0.769,0.9983,0.0187,0.0703,0.0099
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_glucose_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/glucose_int.glucose_int.sumstats.gz,NA,NA,NA,NA,0.0051,0.47,1.0086,0.0136,0.0019,0.0094
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_hb_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/hb_int.hb_int.sumstats.gz,NA,NA,NA,NA,0.2042,0.5233,0.9988,0.013,0.149,0.01
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_hdl_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/hdl_int.hdl_int.sumstats.gz,NA,NA,NA,NA,-0.4632,0.4337,1.0215,0.0125,0.0186,0.009
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_height_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/height_int.height_int.sumstats.gz,NA,NA,NA,NA,0.3614,0.5811,0.9933,0.015,-0.0478,0.0095
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_ldl_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ldl_int.ldl_int.sumstats.gz,NA,NA,NA,NA,-0.2165,0.4622,1.0063,0.0155,0.1003,0.0099
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_mono_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/mono_int.mono_int.sumstats.gz,NA,NA,NA,NA,0.1729,0.5328,1.0104,0.0139,0.0291,0.0101
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_neut_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/neut_int.neut_int.sumstats.gz,NA,NA,NA,NA,-0.7117,0.543,1.028,0.0122,-0.0597,0.0096
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_plt_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/plt_int.plt_int.sumstats.gz,NA,NA,NA,NA,0.4666,0.5916,1.0,0.0142,-0.0199,0.0089
