p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
alt	creatinine	-0.0242	0.0191	-1.2662	0.2055	0.2329	0.0564	1.0289	0.1588	-0.0183	0.014
alt	hb					-0.0385	0.3405	1.4428	0.4081	0.2094	0.015
ast	alt					0.4954	0.3627	0.9593	0.2682	0.7261	0.026
ast	bmi					0.2762	0.0198	1.044	0.0549	0.0983	0.0125
ast	bun					0.0895	1.155	1.7418	0.8632	0.0178	0.0104
ast	creatinine					0.2329	0.0564	1.0289	0.1588	0.0198	0.0163
ast	dbp					0.1608	0.0182	1.0141	0.0499	0.1041	0.0128
ast	drink					0.0193	0.0032	1.0289	0.0109	0.0123	0.0099
ast	eos					0.2507	0.0316	1.0352	0.085	0.0251	0.0135
ast	glucose					-0.2451	0.2286	2.128	0.8695	0.019	0.0205
ast	hb					-0.0385	0.3405	1.4428	0.4081	0.0831	0.0132
ast	hdl					0.2609	0.0336	1.1482	0.0642	0.02	0.014
ast	height					0.4628	0.0314	1.4001	0.0969	-0.0571	0.0165
ast	ldl					0.0911	0.0184	1.1674	0.0669	0.0497	0.0117
ast	mono					0.4884	0.1074	0.8078	0.1695	0.0435	0.0206
ast	neut					0.1586	0.3698	1.0731	0.6548	-0.0339	0.0168
ast	plt	-0.027	0.0236	-1.1441	0.2526	0.3125	0.0408	1.1161	0.0955	-0.045	0.0174
ast	rbc	0.0282	0.025	1.1293	0.2588	0.3014	0.0331	0.9414	0.0688	0.0376	0.0162
ast	sbp					0.1626	0.0159	1.049	0.0455	0.0919	0.0169
ast	smoke					0.0531	0.0062	1.016	0.0196	-0.052	0.0149
ast	triglycerides										
ast	wbc					0.207	0.0198	1.1524	0.056	-0.0007	0.0197
bmi	alt	0.1653	0.0864	1.9138	0.0556	0.4954	0.3627	0.9593	0.2682	0.303	0.017
bmi	creatinine	0.0472	0.0216	2.1871	0.0287	0.2329	0.0564	1.0289	0.1588	0.1173	0.015
bmi	dbp	0.2703	0.0234	11.5619	6.4297e-31	0.1608	0.0182	1.0141	0.0499	0.2916	0.0135
bmi	drink	-0.2222	0.0487	-4.5627	5.0493e-06	0.0193	0.0032	1.0289	0.0109	-0.0591	0.0118
bmi	eos	0.1089	0.0203	5.3746	7.6736e-08	0.2507	0.0316	1.0352	0.085	0.1341	0.0138
bmi	glucose					-0.2451	0.2286	2.128	0.8695	0.1455	0.0134
bmi	hb					-0.0385	0.3405	1.4428	0.4081	0.1182	0.012
bmi	hdl	-0.3898	0.0328	-11.883	1.4503e-32	0.2609	0.0336	1.1482	0.0642	-0.3562	0.0165
bmi	height	-0.1576	0.0215	-7.3164	2.5479e-13	0.4628	0.0314	1.4001	0.0969	-0.1284	0.0207
bmi	ldl	-0.0683	0.0274	-2.4883	0.0128	0.0911	0.0184	1.1674	0.0669	0.0336	0.0121
bmi	mono	0.1026	0.0211	4.8735	1.0964e-06	0.4884	0.1074	0.8078	0.1695	0.131	0.0186
bmi	plt	0.0348	0.0179	1.9494	0.0512	0.3125	0.0408	1.1161	0.0955	0.0445	0.0144
bmi	rbc	0.1117	0.0174	6.4094	1.461e-10	0.3014	0.0331	0.9414	0.0688	0.1862	0.0138
bmi	sbp	0.1371	0.0222	6.1811	6.3666e-10	0.1626	0.0159	1.049	0.0455	0.2147	0.0138
bmi	smoke	0.3692	0.0539	6.8558	7.0933e-12	0.0531	0.0062	1.016	0.0196	-0.0375	0.0176
bmi	triglycerides	0.2933	0.0454	6.4612	1.0387e-10	0.2334	0.0423	1.0459	0.1061	0.3472	0.0192
bmi	wbc	0.2639	0.0269	9.8064	1.0563999999999999e-22	0.207	0.0198	1.1524	0.056	0.2015	0.0155
bun	alt										
bun	bmi										
bun	creatinine										
bun	dbp										
bun	drink										
bun	eos										
bun	glucose					-0.2451	0.2286	2.128	0.8695	0.0082	0.0099
bun	hb					-0.0385	0.3405	1.4428	0.4081	-0.0464	0.0161
bun	hdl										
bun	height										
bun	ldl					0.0911	0.0184	1.1674	0.0669	0.0163	0.0117
bun	mono										
bun	neut										
bun	plt										
bun	rbc										
bun	sbp										
bun	smoke										
bun	triglycerides										
bun	wbc										
cholesterol	alt	-0.0225	0.0264	-0.8514	0.3945	0.492	0.3606	0.9572	0.2671	0.0982	0.0123
cholesterol	ast					-0.2326	0.2996	1.3216	0.4712	0.0825	0.0125
cholesterol	bmi	-0.1677	0.0285	-5.8897	3.8688e-09	0.2763	0.0198	1.0436	0.0549	-0.0309	0.0145
cholesterol	bun										
cholesterol	creatinine	-0.0831	0.0357	-2.3276	0.0199	0.2307	0.0537	1.0334	0.152	-0.0373	0.0154
cholesterol	dbp	-0.1131	0.0413	-2.7402	0.0061	0.1608	0.0182	1.0141	0.05	0.1206	0.0164
cholesterol	drink	0.0301	0.0764	0.3945	0.6932	0.0193	0.0032	1.0289	0.0109	0.0614	0.0114
cholesterol	eos	-0.0112	0.0347	-0.3232	0.7465	0.2508	0.0316	1.0348	0.085	-0.0423	0.0155
cholesterol	ggt	0.1108	0.035	3.1681	0.0015	0.2314	0.0253	1.0608	0.0663	0.1422	0.0133
cholesterol	glucose					-0.1799	0.1783	1.8078	0.6159	-0.0434	0.0242
cholesterol	hb					-0.0387	0.34	1.442	0.4079	0.1376	0.0149
cholesterol	hdl	0.392	0.0803	4.8838	1.0404e-06	0.2614	0.0336	1.1444	0.0643	0.3382	0.0224
cholesterol	height	-0.1023	0.0307	-3.3286	0.0009	0.4628	0.0314	1.4	0.0968	-0.0348	0.0225
cholesterol	ldl	1.0218	0.195	5.239	1.6141e-07	0.0911	0.0184	1.1674	0.0669	1.0551	0.101
cholesterol	mono	-0.0288	0.0249	-1.1595	0.2462	0.4886	0.1075	0.8075	0.1696	-0.0855	0.018
cholesterol	neut	-0.0612	0.0987	-0.6201	0.5352	0.1616	0.3883	1.0738	0.6562	-0.0827	0.0152
cholesterol	plt	0.0795	0.0363	2.1915	0.0284	0.3125	0.0408	1.1156	0.0955	0.0957	0.0124
cholesterol	rbc	-0.0718	0.0337	-2.1287	0.0333	0.3014	0.0331	0.9413	0.0688	0.1081	0.0144
cholesterol	sbp	-0.1208	0.0357	-3.3871	0.0007	0.1626	0.0159	1.0489	0.0456	0.0989	0.0123
cholesterol	smoke	0.0122	0.0568	0.2149	0.8298	0.0531	0.0062	1.0159	0.0196	-0.0049	0.0123
cholesterol	triglycerides	0.1463	0.0592	2.4741	0.0134	0.2349	0.0422	1.0358	0.1046	0.3098	0.0176
cholesterol	wbc	-0.0596	0.0337	-1.771	0.0766	0.2071	0.0198	1.1524	0.056	-0.0625	0.0138
creatinine	hb					-0.0385	0.3405	1.4428	0.4081	0.032	0.0191
dbp	alt	0.092	0.0482	1.9102	0.0561	0.4954	0.3627	0.9593	0.2682	0.1681	0.013
dbp	creatinine	0.018	0.0277	0.6476	0.5172	0.2329	0.0564	1.0289	0.1588	-0.0015	0.0165
dbp	eos	0.0719	0.0211	3.4091	0.0007	0.2507	0.0316	1.0352	0.085	0.0008	0.0126
dbp	glucose					-0.2451	0.2286	2.128	0.8695	0.0842	0.0128
dbp	hb					-0.0385	0.3405	1.4428	0.4081	0.2431	0.016
dbp	hdl	-0.1508	0.0255	-5.9106	3.4077e-09	0.2609	0.0336	1.1482	0.0642	-0.0325	0.0114
dbp	height	-0.1086	0.0271	-4.004	6.2274e-05	0.4628	0.0314	1.4001	0.0969	-0.033	0.022
dbp	mono	0.0887	0.0196	4.5216	6.1387e-06	0.4884	0.1074	0.8078	0.1695	0.0355	0.0145
dbp	plt	0.0476	0.0232	2.052	0.0402	0.3125	0.0408	1.1161	0.0955	0.0558	0.0157
dbp	sbp	0.6294	0.0673	9.3494	8.810599999999999e-21	0.1626	0.0159	1.049	0.0455	0.7065	0.0195
dbp	wbc	0.1799	0.0294	6.1093	1.0004e-09	0.207	0.0198	1.1524	0.056	0.0727	0.0143
drink	alt	-0.0406	0.0385	-1.0544	0.2917	0.4954	0.3627	0.9593	0.2682	-0.0045	0.0111
drink	creatinine	-0.0545	0.048	-1.1357	0.2561	0.2329	0.0564	1.0289	0.1588	0.0011	0.0108
drink	dbp	-0.1748	0.0705	-2.4794	0.0132	0.1608	0.0182	1.0141	0.0499	0.0393	0.0127
drink	eos	-0.0412	0.0454	-0.9063	0.3648	0.2507	0.0316	1.0352	0.085	-0.0239	0.0112
drink	glucose					-0.2451	0.2286	2.128	0.8695	0.0113	0.0121
drink	hb					-0.0385	0.3405	1.4428	0.4081	0.0215	0.0093
drink	hdl	0.1913	0.0448	4.2659	1.9909e-05	0.2609	0.0336	1.1482	0.0642	0.1301	0.0103
drink	height	0.1797	0.0612	2.9336	0.0034	0.4628	0.0314	1.4001	0.0969	0.0462	0.0178
drink	ldl	0.0021	0.0723	0.0294	0.9765	0.0911	0.0184	1.1674	0.0669	0.0324	0.0099
drink	mono	-0.0535	0.0351	-1.5263	0.1269	0.4884	0.1074	0.8078	0.1695	0.0051	0.0138
drink	plt	-0.0139	0.0616	-0.225	0.822	0.3125	0.0408	1.1161	0.0955	-0.0259	0.0158
drink	sbp	-0.1414	0.0633	-2.2342	0.0255	0.1626	0.0159	1.049	0.0455	0.0391	0.0115
drink	wbc	-0.2045	0.0598	-3.421	0.0006	0.207	0.0198	1.1524	0.056	-0.0295	0.0121
eos	alt	0.0273	0.0203	1.3453	0.1785	0.4954	0.3627	0.9593	0.2682	0.0612	0.0155
eos	creatinine	0.0309	0.021	1.4666	0.1425	0.2329	0.0564	1.0289	0.1588	0.0193	0.0137
eos	glucose					-0.2451	0.2286	2.128	0.8695	-0.0212	0.0098
eos	hb					-0.0385	0.3405	1.4428	0.4081	0.0357	0.014
eos	hdl	-0.0577	0.0252	-2.2893	0.0221	0.2609	0.0336	1.1482	0.0642	-0.1387	0.0141
eos	plt	0.1417	0.0265	5.3452	9.0305e-08	0.3125	0.0408	1.1161	0.0955	0.1198	0.0183
eos	sbp	0.0194	0.0234	0.8288	0.4072	0.1626	0.0159	1.049	0.0455	-0.0145	0.0144
