Trait	Parameter	Value	SE
lymph	h1^2	0.3523232765443865	0.1082628119611354
lymph	h2^2	0.24930703432072226	0.26236023628347993
lymph	pge	0.15011584876026013	0.6441912424732511
plt	h1^2	0.25408008791906417	0.03342730820250586
plt	h2^2	0.2783815192850314	0.2431277995058278
plt	pge	0.6947002262076092	0.5815223514181889
mono	h1^2	0.24571814847842086	0.06587132349782295
mono	h2^2	0.2214103893721298	0.23805768615796752
mono	pge	-0.863301556847129	1.5237632431480113
eos	h1^2	0.34069638309275063	0.08601539073822353
eos	h2^2	0.7053122482577352	0.2780113935262209
eos	pge	-0.8297131067125207	1.072891853831211
hb	h1^2	0.23481955286178666	0.0664648207432892
hb	h2^2	0.5104670732725072	0.22328305339634197
hb	pge	-0.001783637036966468	0.18601316638505688
height	h1^2	0.4772024994332026	0.05659719424561997
height	h2^2	0.6739182004012274	0.24607910942733321
height	pge	0.4624249188140625	0.4156090483802968
glucose	h1^2	0.05420013785615581	0.008470576092573371
glucose	h2^2	0.3777917385707717	0.19261029632047819
glucose	pge	0.24042355495436996	0.38709323803868545
triglycerides	h1^2	0.20047352133558033	0.040562329825227623
triglycerides	h2^2	0.5571394373255573	0.28171258234820207
triglycerides	pge	-0.25299453039484976	0.8049558836998922
ldl	h1^2	0.09444963159019663	0.02120210996067904
ldl	h2^2	0.14284547608381595	0.19498527578674926
ldl	pge	0.7542175922326346	0.7309777715870287
waist	h1^2	0.14429742884714475	0.01425520153098397
waist	h2^2	0.21708056989901575	0.2521796228465905
waist	pge	0.33884450497145446	0.5145374324163736
bmi	h1^2	0.1890454802219092	0.017766836476143084
bmi	h2^2	0.02353021818342582	0.19780568818679653
bmi	pge	1.5407887282569828	12.67522819005777
hdl	h1^2	0.18319964424595772	0.031245251215322473
hdl	h2^2	0.17433731428595617	0.18862121270330648
hdl	pge	0.39221621511797666	0.3543695901213221
rbc	h1^2	0.1896989961000183	0.02225018261380697
rbc	h2^2	0.027373837141254794	0.2173016142497035
rbc	pge	-1.499032921527246	11.417035828617955
cholesterol	h1^2	0.11639328754939966	0.02789720907546457
cholesterol	h2^2	0.08874088987183443	0.1858264193793485
cholesterol	pge	0.6703760656931952	1.6730998444671108
